_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
1,1,NERELA,2,RAJ KARAN KHATRI,Bharatiya Janata Party,86463,752,87215,49.91
2,1,NERELA,3,SHARAD KUMAR,Aam Aadmi Party,78395,224,78619,44.99
3,1,NERELA,1,ARUNA,Indian National Congress,6724,58,6782,3.88
4,1,NERELA,8,NOTA,None of the Above,973,8,981,0.56
5,1,NERELA,4,ANIL KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),328,0,328,0.19
6,1,NERELA,7,VIKAS BHARDWAJ,Independent,300,1,301,0.17
7,1,NERELA,5,MD KHALID,Aazad Samaj Party (Kanshi Ram),278,0,278,0.16
8,1,NERELA,6,BUDIYA,Independent,242,0,242,0.14
9,2,BURARI,3,SANJEEV JHA,Aam Aadmi Party,120813,368,121181,47.57
10,2,BURARI,12,SHAILENDRA KUMAR,Janata Dal  (United),99943,637,100580,39.48
11,2,BURARI,2,MANGESH TYAGI,Indian National Congress,19808,112,19920,7.82
12,2,BURARI,10,RATAN TYAGI,Nationalist Congress Party,3829,23,3852,1.51
13,2,BURARI,15,NOTA,None of the Above,2530,18,2548,1
14,2,BURARI,1,GANGA RAM,Bahujan Samaj Party,2193,21,2214,0.87
15,2,BURARI,4,ANIL KAPOOR,Janhit Dal,866,3,869,0.34
16,2,BURARI,14,SONU KAUSHIK,Aapki Apni Party (Peoples),738,1,739,0.29
17,2,BURARI,11,VIJAY KUMAR JHA,Rachnatmak Jan Morcha,589,0,589,0.23
18,2,BURARI,13,SUNIL KUMAR VYATHIT,Aam Aadmi Sangharsh Party (S),568,1,569,0.22
19,2,BURARI,5,ABHISHEK KUMAR SINGH (MASTER JI),Rashtriya Janshakti Party (Secular),530,1,531,0.21
20,2,BURARI,6,GULAB SINGHAL,Bhim Sena,318,0,318,0.12
21,2,BURARI,8,PRAMOD,Sarvodaya Prabhat Party,315,0,315,0.12
22,2,BURARI,9,MUKESH PRASAD,Bhartiya Janta Dal (Integrated),284,4,288,0.11
23,2,BURARI,7,DHURVA KUMAR,Right to Recall Party,224,0,224,0.09
24,3,TIMARPUR,4,SURYA PRAKASH KHATRI,Bharatiya Janata Party,55626,315,55941,46.03
25,3,TIMARPUR,2,SURINDER PAL SINGH (BITTOO),Aam Aadmi Party,54602,171,54773,45.07
26,3,TIMARPUR,1,LOKENDRA KALYAN SINGH,Indian National Congress,8313,48,8361,6.88
27,3,TIMARPUR,3,SURENDER PAL,Bahujan Samaj Party,976,9,985,0.81
